"country","year","ihrfactor","growth","ipoil","aidgni","democ_dummy","lnpop","lnpcgdp","polity2"
"Haiti",1980,-0.6981732,5.737492,0,7.272287,0,15.49317,6.7731899,1
"Haiti",1981,-0.42468221,-4.421003,0,7.349078,0,15.51065,6.7279728,1
"Haiti",1982,-0.17523426,-5.124928,0,8.68126,0,15.52841,6.6753636,1
"Haiti",1983,-0.42468221,-1.04546,0,8.292941,0,15.54648,6.6648539,1
"Haiti",1984,-0.66889015,-1.538407,0,7.397664,0,15.56495,6.6493504,1
"Haiti",1985,-0.48724185,-1.677333,0,7.52513,0,15.58383,6.6324348,1
"Haiti",1986,0.00387594,-2.024278,0,8.158535,0,15.6031,6.6119843,2
"Haiti",1987,-1.4786576,-2.67649,0,9.971957,0,15.62271,6.5848547,2
"Haiti",1988,-0.86203496,-1.21271,0,6.491204,0,15.64263,6.5726535,3
"Haiti",1989,-0.48962027,-0.9539164,0,7.940586,0,15.6628,6.5630685,4
"Haiti",1990,-1.360288,-2.110481,0,5.940175,1,15.68315,6.5417378,17
"Haiti",1991,-1.600382,2.343401,0,5.980157,0,15.70152,6.5649014,3
"Haiti",1992,-1.9636726,-14.85178,0,5.722017,0,15.7209,6.4041247,3
"Haiti",1993,-1.9636726,-4.404959,0,7.169023,0,15.7413,6.3590755,3
"Haiti",1994,-2.2209589,-10.23015,0,24.77584,1,15.76271,6.2511545,17
"Haiti",1995,0.25132506,-6.080905,0,23.82934,1,15.78514,6.1884181,17
"Haiti",1996,-0.61394297,1.735565,0,12.37508,1,15.8083,6.2056249,17
"Haiti",1997,-0.36363225,0.561559,0,9.754352,1,15.82935,6.2112248,17
"Haiti",1998,-0.85815091,0.1284687,0,10.83901,1,15.84982,6.2120434,17
"Haiti",1999,-0.98025488,0.6467897,0,6.292801,0,15.87002,6.2186782,12
"Haiti",2000,-0.55526739,-1.123676,0,5.204041,0,15.88981,6.2081273,8
"Haiti",2001,-0.54678618,-3.151665,0,4.746698,0,15.91132,6.1757093,8
"Haiti",2002,-0.66889015,-2.355047,0,4.482295,0,15.93014,6.151877,8
"Haiti",2003,-0.79099412,-1.423762,0,6.874273,0,15.94847,6.1374372,8
"Dominican Rep",1980,0.16076213,3.480442,0,1.946266,0,15.5551,7.3182431,16
"Dominican Rep",1981,0.67846106,1.475079,0,1.506618,0,15.58029,7.3328864,16
"Dominican Rep",1982,0.67608264,-1.030222,0,1.761761,0,15.60607,7.3225309,16
"Dominican Rep",1983,1.2979453,1.951812,0,1.199053,0,15.63166,7.341861,16
"Dominican Rep",1984,0.30604636,-2.121463,0,1.887553,0,15.65591,7.3204178,16
"Dominican Rep",1985,1.3620868,-1.23198,0,4.387279,0,15.67819,7.3080216,16
"Dominican Rep",1986,0.4899134,1.484906,0,1.575206,0,15.69887,7.3227614,16
"Dominican Rep",1987,0.4899134,7.925588,0,2.342779,0,15.71817,7.3990335,16
"Dominican Rep",1988,0.73412133,0.3259618,0,2.346177,0,15.73625,7.4022875,16
"Dominican Rep",1989,0.86232809,3.038471,0,2.255254,0,15.75332,7.4322199,16
"Dominican Rep",1990,0.61812015,-7.353361,0,1.50882,0,15.76967,7.3558424,16
"Dominican Rep",1991,0.37169348,-0.714462,0,0.9413854,0,15.78625,7.3486718,16
"Dominican Rep",1992,0.00316284,6.244767,0,0.7813548,0,15.80305,7.4092473,16
"Dominican Rep",1993,0.61812015,1.276817,0,-0.0140362,0,15.82007,7.4219349,16
"Dominican Rep",1994,0.25180825,2.420266,0,0.6031296,0,15.83731,7.4458491,15
"Dominican Rep",1995,0.49601618,3.033625,0,1.017214,0,15.85478,7.4757343,15
"Dominican Rep",1996,-0.49659584,5.422013,0,0.7408302,1,15.87198,7.5285355,18
"Dominican Rep",1997,-0.25016917,6.395454,0,0.4980935,1,15.88892,7.5905283,18
"Dominican Rep",1998,-0.49437711,5.549911,0,0.8084886,1,15.90559,7.6452485,18
"Dominican Rep",1999,-0.25016917,6.242941,0,1.188946,1,15.92199,7.7058065,18
"Dominican Rep",2000,0.18242674,5.582275,0,0.334584,1,15.93813,7.7659197,18
"Dominican Rep",2001,0.05184157,1.60348,0,0.5248829,1,15.95372,7.7895494,18
"Dominican Rep",2002,0.30453071,2.545581,0,0.7111825,1,15.96877,7.816606,18
"Dominican Rep",2003,-0.06788398,-1.833593,0,0.4508,1,15.98326,7.7980999,18
"Jamaica",1980,0.91083154,-7.029729,0,5.143114,1,14.57304,7.7793637,20
"Jamaica",1981,1.1782197,1.158616,0,5.524148,1,14.58668,7.7917728,20
"Jamaica",1982,1.3003237,-0.4808218,0,5.810029,1,14.60401,7.7949236,20
"Jamaica",1983,1.1782197,0.4166146,0,5.43658,1,14.62234,7.7955046,20
"Jamaica",1984,0.55635709,-2.560234,0,8.134497,1,14.63964,7.7626624,20
"Jamaica",1985,0.74022412,-5.840765,0,9.232885,1,14.65323,7.719192,20
"Jamaica",1986,0.61590142,0.5427607,0,7.168514,1,14.66387,7.7272117,20
"Jamaica",1987,0.74172976,7.291817,0,5.703127,1,14.67018,7.7964701,20
"Jamaica",1988,0.48531625,1.933019,0,5.526027,1,14.67265,7.8329796,20
"Jamaica",1989,0.73562697,6.206787,0,6.469349,1,14.68047,7.8944363,20
"Jamaica",1990,0.36709633,5.624787,0,6.518132,1,14.6868,7.9292453,20
"Jamaica",1991,0.3679591,0.1650641,0,4.309304,1,14.69349,7.9698045,20
"Jamaica",1992,-0.25476632,0.94225,0,3.491856,1,14.70053,7.9821305,20
"Jamaica",1993,-0.24628511,1.216831,0,2.151381,1,14.70793,8.0061712,19
"Jamaica",1994,0.37255625,0.4270497,0,2.352035,1,14.71567,8.0246275,19
"Jamaica",1995,0.11836147,1.626868,0,1.953182,1,14.72377,8.0613809,19
"Jamaica",1996,0.99053485,-0.5506799,0,0.9090477,1,14.7318,8.0758781,19
"Jamaica",1997,0.74022412,-1.861462,0,0.9816074,1,14.73977,8.0675401,19
"Jamaica",1998,0.36019099,-1.916392,0,0.2574122,1,14.74768,7.9619858,19
"Jamaica",1999,0.11376432,0.0794913,0,-0.2943844,1,14.75552,7.9631907,19
"Jamaica",2000,0.29842792,-0.020854,0,0.1309353,1,14.7633,7.963323,19
"Jamaica",2001,-0.07398677,0.6937996,0,0.7041187,1,14.77102,7.9706706,19
"Jamaica",2002,0.0565984,0.2749727,0,0.3070185,1,14.77908,7.9738437,19
"Jamaica",2003,-0.31581629,1.427231,0,0.0457082,1,14.78728,7.9864247,19
